,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,5Y,Longevity,Longevity in drafted franchise
Donald Ackerman,76008,1953,00,1610612752,NYK,23.0,28,0,7.857142857142857,0.5,2.25,0.222,0.0,0.0,0,0.5357142857142857,1.0,0.536,0.0,0.0,0.5357142857142857,0.8214285714285714,0.0,0.0,0.0,1.5357142857142858,1.5357142857142858,False,1,1
Mark Acres,76009,1987,00,1610612738,BOS,25.0,79,5,14.569620253164556,1.3670886075949367,2.569620253164557,0.532,0.0,0.0,0.0,0.8987341772151899,1.4050632911392404,0.64,1.3291139240506329,2.088607594936709,3.4177215189873418,0.5316455696202531,0.3670886075949367,0.34177215189873417,0.6835443037974683,2.5063291139240507,3.632911392405063,True,6,2
Charles Acton,76010,1967,00,1610612745,SDR,26.0,23,0,8.478260869565217,1.2608695652173914,3.217391304347826,0.392,0.0,0.0,0,0.8260869565217391,1.2608695652173914,0.655,0.0,0.0,2.0434782608695654,0.4782608695652174,0.0,0.0,0.0,1.5217391304347827,3.347826086956522,False,1,1
Quincy Acy,203112,2012,00,1610612761,TOR,22.0,29,0,11.793103448275861,1.4482758620689655,2.586206896551724,0.56,0.034482758620689655,0.06896551724137931,0.5,1.0689655172413792,1.3103448275862069,0.816,1.0344827586206897,1.6206896551724137,2.6551724137931036,0.3793103448275862,0.4482758620689655,0.5172413793103449,0.5862068965517241,1.8275862068965518,4.0,True,7,2
Alvan Adams,76011,1975,00,1610612756,PHX,21.0,80,79,33.2,7.8625,16.7625,0.469,0.0,0.0,0,3.2625,4.4375,0.735,2.6875,6.4,9.0875,5.625,1.5125,1.45,0.0,3.425,18.9875,True,13,13
Don Adams,76012,1970,00,1610612745,SDR,23.0,82,0,28.951219512195124,4.7682926829268295,11.670731707317072,0.409,0.0,0.0,0,1.8902439024390243,2.5853658536585367,0.731,0.0,0.0,7.085365853658536,2.1097560975609757,0.0,0.0,0.0,4.195121951219512,11.426829268292684,True,7,1
Hassan Adams,200801,2006,00,1610612751,NJN,23.0,61,8,8.114754098360656,1.2295081967213115,2.2131147540983607,0.556,0.0,0.01639344262295082,0.0,0.39344262295081966,0.5901639344262295,0.667,0.5737704918032787,0.6885245901639344,1.2622950819672132,0.21311475409836064,0.2786885245901639,0.06557377049180328,0.36065573770491804,0.7704918032786885,2.8524590163934427,False,2,1
Jaylen Adams,1629121,2018,00,1610612737,ATL,23.0,34,1,12.588235294117647,1.1176470588235294,3.235294117647059,0.345,0.7352941176470589,2.176470588235294,0.338,0.20588235294117646,0.2647058823529412,0.778,0.3235294117647059,1.4411764705882353,1.7647058823529411,1.911764705882353,0.4117647058823529,0.14705882352941177,0.8235294117647058,1.3235294117647058,3.176470588235294,False,2,1
Jordan Adams,203919,2014,00,1610612763,MEM,20.0,30,0,8.266666666666667,1.1666666666666667,2.8666666666666667,0.407,0.3333333333333333,0.8333333333333334,0.4,0.4666666666666667,0.7666666666666667,0.609,0.3,0.6333333333333333,0.9333333333333333,0.5333333333333333,0.5333333333333333,0.23333333333333334,0.4666666666666667,0.8,3.1333333333333333,False,2,2
Michael Adams,149,1985,00,1610612758,SAC,23.0,18,0,7.722222222222222,0.8888888888888888,2.4444444444444446,0.364,0.0,0.16666666666666666,0.0,0.4444444444444444,0.6666666666666666,0.667,0.1111111111111111,0.2222222222222222,0.3333333333333333,1.2222222222222223,0.5,0.05555555555555555,0.6111111111111112,0.5,2.2222222222222223,True,11,1
Steven Adams,203500,2013,00,1610612760,OKC,20.0,81,20,14.777777777777779,1.1481481481481481,2.2839506172839505,0.503,0.0,0.0,0.0,0.9753086419753086,1.6790123456790123,0.581,1.7530864197530864,2.345679012345679,4.098765432098766,0.5308641975308642,0.49382716049382713,0.7037037037037037,0.8765432098765432,2.506172839506173,3.271604938271605,True,11,7
